place_id,menu_name,menu_tag,description,price,price_raw
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 2.1km,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,황하호연 본점,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,양꼬치서구 풍암동,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 756,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 430m,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,편편집 광주풍암점,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,샤브샤브서구 풍암동,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"리뷰 1,692",,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 40m,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,빛가람국밥본점,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,국밥서구 금호동,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,24시간 영업,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"리뷰 2,018",,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 420m,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,브런치투나잇,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,브런치서구 금호동,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 717,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 1.1km,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,쭈사장 광주금호본점,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,주꾸미요리서구 금호동,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"리뷰 3,084",,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 1.3km,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,모토이시 금호점,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"육류,고기요리서구 금호동",,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"리뷰 3,846",,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 1.2km,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,숙이네집,,,,
